Finished Orders (sorted by TF descending):
TF	ID	TQ	TA	TR	TS	Ti	TC	Tw	Tserv
72	100	51	51	53	69	16	2	18	3
68	94	48	48	50	65	15	2	17	3
67	95	48	48	50	63	13	2	15	4
65	88	45	45	47	62	15	2	17	3
64	89	45	45	47	60	13	2	15	4
60	83	42	42	44	56	12	2	14	4
59	82	42	42	44	56	12	2	14	3
57	77	39	39	41	53	12	2	14	4
56	76	39	39	41	53	12	2	14	3
52	70	36	36	38	49	11	2	13	3
53	99	50	50	52	52	0	2	2	1
51	71	36	36	38	47	9	2	11	4
49	64	33	33	35	46	11	2	13	3
50	93	47	47	49	49	0	2	2	1
48	65	33	33	35	44	9	2	11	4
47	87	44	44	46	46	0	2	2	1
45	31	16	16	18	35	17	2	19	10
44	59	30	30	32	40	8	2	10	4
43	58	30	30	32	40	8	2	10	3
43	32	17	17	19	35	16	2	18	8
44	81	41	41	43	43	0	2	2	1
41	53	27	27	29	37	8	2	10	4
40	52	27	27	29	37	8	2	10	3
40	30	16	16	18	25	7	2	9	15
41	75	38	38	40	40	0	2	2	1
38	69	35	35	37	37	0	2	2	1
36	46	24	24	26	33	7	2	9	3
35	47	24	24	26	31	5	2	7	4
34	24	13	13	15	19	4	2	6	15
35	63	32	32	34	34	0	2	2	1
33	40	21	21	23	30	7	2	9	3
32	41	21	21	23	28	5	2	7	4
31	18	10	10	12	16	4	2	6	15
32	57	29	29	31	31	0	2	2	1
30	26	14	14	16	22	6	2	8	8
30	25	13	13	15	20	5	2	7	10
28	35	18	18	20	24	4	2	6	4
29	51	26	26	28	28	0	2	2	1
27	34	18	18	20	24	4	2	6	3
27	19	10	10	12	17	5	2	7	10
25	29	15	15	17	21	4	2	6	4
25	20	11	11	13	17	4	2	6	8
26	45	23	23	25	25	0	2	2	1
24	28	15	15	17	21	4	2	6	3
24	12	7	7	9	9	0	2	2	15
23	39	20	20	22	22	0	2	2	1
21	6	4	4	6	6	0	2	2	15
20	22	12	12	14	17	3	2	5	3
19	23	12	12	14	15	1	2	3	4
19	13	7	7	9	9	0	2	2	10
20	33	17	17	19	19	0	2	2	1
18	14	8	8	10	10	0	2	2	8
17	16	9	9	11	14	3	2	5	3
16	17	9	9	11	12	1	2	3	4
16	7	4	4	6	6	0	2	2	10
17	27	14	14	16	16	0	2	2	1
15	8	5	5	7	7	0	2	2	8
13	1	1	1	3	3	0	2	2	10
14	21	11	11	13	13	0	2	2	1
12	11	6	6	8	8	0	2	2	4
12	2	2	2	4	4	0	2	2	8
11	10	6	6	8	8	0	2	2	3
11	15	8	8	10	10	0	2	2	1
9	5	3	3	5	5	0	2	2	4
8	4	3	3	5	5	0	2	2	3
8	9	5	5	7	7	0	2	2	1
5	3	2	2	4	4	0	2	2	1

--- Statistics ---
Total finished : 67
Total cancelled: 0
